date,country,province,population,cases,new_cases,avg7_new_cases,avg7_new_cases_100k,deaths,new_deaths,avg7_new_deaths,avg7_new_deaths_100k
2022-10-15,India,Andaman and Nicobar Islands,417036,10725,1,2.4285714285714284,0.5823409558338917,129,0,0,0
2022-10-15,India,Andhra Pradesh,53903393,2338652,23,21.714285714285715,0.04028370851216308,14733,0,0,0
2022-10-15,India,Arunachal Pradesh,1570458,66866,0,0.7142857142857143,0.0454826371851851,296,0,0,0
2022-10-15,India,Assam,35607039,745898,56,24.857142857142858,0.06980963190211592,8035,0,0,0
2022-10-15,India,Bihar,124799926,850868,38,29.142857142857142,0.023351662197986515,12302,0,0,0
2022-10-15,India,Chandigarh,1158473,99264,4,3.7142857142857144,0.3206191006856193,1181,0,0,0
2022-10-15,India,Chhattisgarh,29436231,1177096,63,60.42857142857143,0.2052863745653152,14139,2,0.2857142857142857,9.706211563371877e-4
2022-10-15,India,Dadra and Nagar Haveli and Daman and Diu,615724,11588,0,0.14285714285714285,0.0232014900924997,4,0,0,0
2022-10-15,India,Delhi,18710922,2004787,135,106.57142857142857,0.5695680232723357,26506,0,0.14285714285714285,7.634960097484393e-4
2022-10-15,India,Goa,1586250,258467,18,24.285714285714285,1.5310142969717435,3967,0,0.14285714285714285,0.009005966452774964
2022-10-15,India,Gujarat,63872399,1276018,68,86.85714285714286,0.13598540874774856,11037,0,0.14285714285714285,2.2366021175616537e-4
2022-10-15,India,Haryana,28204692,1055543,54,43.42857142857143,0.153976407289154,10709,0,0.2857142857142857,0.0010130026795339077
2022-10-15,India,Himachal Pradesh,7451955,312376,6,8.714285714285714,0.11693959121177884,4210,0,0,0
2022-10-15,India,Jammu and Kashmir,13606320,479245,4,4.857142857142857,0.03569769678460345,4785,0,0,0
2022-10-15,India,Jharkhand,38593948,442471,5,8.285714285714286,0.021468947115009553,5331,1,0.14285714285714285,3.701542606036129e-4
2022-10-15,India,Karnataka,67562686,4066705,163,154.71428571428572,0.228993687009847,40292,0,0.7142857142857143,0.0010572192382726085
2022-10-15,India,Kerala,35699443,6816672,485,590.7142857142857,1.6546876815817144,71306,16,8,0.02240931322093737
2022-10-15,India,Ladakh,289023,29371,0,1.2857142857142858,0.4448484327248301,231,0,0,0
2022-10-15,India,Lakshadweep,73183,11415,0,0,0,52,0,0,0
2022-10-15,India,Madhya Pradesh,85358965,1054545,28,17.142857142857142,0.02008325328553028,10775,0,0.2857142857142857,3.3472088809217136e-4
2022-10-15,India,Maharashtra,123144223,8127259,462,422.85714285714283,0.343383662307198,148371,0,2,0.0016241119163178284
2022-10-15,India,Manipur,3091545,139840,5,2.142857142857143,0.06931347086512223,2149,0,0,0
2022-10-15,India,Meghalaya,3366710,96736,3,2.4285714285714284,0.07213485653862163,1622,0,0,0
2022-10-15,India,Mizoram,1239244,238674,13,14.571428571428571,1.1758320856448425,723,0,0,0
2022-10-15,India,Nagaland,2249695,35968,0,0.8571428571428571,0.038100402816508776,781,0,0,0
2022-10-15,India,Odisha,46356334,1335377,63,84.28571428571429,0.1818213543066505,9200,1,0.14285714285714285,3.0817178696042455e-4
2022-10-15,India,Puducherry,1413542,175037,28,27.714285714285715,1.9606269721229166,1974,0,0,0
2022-10-15,India,Punjab,30141373,784923,16,24.428571428571427,0.08104664451938347,17918,0,0.14285714285714285,4.7395698549347056e-4
2022-10-15,India,Rajasthan,81032689,1313757,44,46.285714285714285,0.05711980542286371,9644,0,0,0
2022-10-15,India,Sikkim,690251,44248,4,5.142857142857143,0.7450705819849798,498,0,0,0
2022-10-15,India,Tamil Nadu,77841267,3588734,285,307.14285714285717,0.39457587084606055,38048,0,0,0
2022-10-15,India,Telangana,38510982,839028,78,81.28571428571429,0.21107151795224097,4111,0,0,0
2022-10-15,India,Tripura,4169794,107904,15,13,0.3117660009103567,939,0,0,0
2022-10-15,India,Uttar Pradesh,237882725,2126887,49,46.285714285714285,0.019457366769997392,23625,0,0.2857142857142857,1.2010720228393454e-4
2022-10-15,India,Uttarakhand,11250858,449025,12,-33.57142857142857,-0.2983899412065157,7751,0,0,0
2022-10-15,India,West Bengal,99609303,2116859,173,167.28571428571428,0.16794185808700446,21521,1,1,0.001003922294286107
